Clock information
STATE	 TIME	PROBABILITY
0	3.000	0.002
1	84422.729	62.594
2	49034.071	36.356
3	1413.435	1.048
4	0.000	0.000
5	0.000	0.000
TOTAL TIME - 134873.235

Queue information
Max size - 5
Arrival Interval - 2,4
Departure Interval - 3,5
Loss Number - 0
Mode - RANDOM

Events information
EVENT	TIME	ORDER
FIRST_ARRIVAL	3.0	0
DEPARTURE	6.098054817662108	2
ARRIVAL	5.1232932747076685	1
DEPARTURE	8.276065143866097	4
ARRIVAL	7.31049623167878	3
DEPARTURE	10.537914803744599	6
ARRIVAL	9.584886764265981	5
DEPARTURE	12.914140689344544	8
ARRIVAL	11.978221298334471	7
DEPARTURE	15.446402178245803	10
ARRIVAL	14.533822937416598	9
DEPARTURE	18.19153228861129	12
ARRIVAL	17.31079440634802	11
DEPARTURE	21.227064390864342	14
ARRIVAL	20.38976547996449	13
DEPARTURE	24.658771919594894	16
ARRIVAL	23.880733804028388	15
DEPARTURE	28.630954282965686	19
ARRIVAL	25.93376158692259	17
DEPARTURE	29.004463148323566	20
ARRIVAL	28.025106175275383	18
ARRIVAL	30.140561881778158	21
DEPARTURE	31.77457184866669	22
DEPARTURE	33.31707258451941	24
ARRIVAL	32.35549186844283	23
DEPARTURE	35.61529569536735	26
ARRIVAL	34.66770847702353	25
DEPARTURE	38.04114337369885	28
ARRIVAL	37.11264652004624	27
DEPARTURE	40.64110045507943	30
ARRIVAL	39.738647270493935	29
DEPARTURE	43.47858299748858	32
ARRIVAL	42.611659395991126	31
DEPARTURE	46.640105158946525	34
ARRIVAL	45.82165211937939	33
DEPARTURE	50.24369224371246	36
ARRIVAL	49.49136425177164	35
DEPARTURE	54.450358041485586	39
ARRIVAL	51.7882398954688	37
DEPARTURE	55.143756498586434	40
ARRIVAL	54.21224931721791	38
ARRIVAL	56.71625855906623	41
DEPARTURE	58.0478073160816	42
DEPARTURE	60.42284607558657	44
ARRIVAL	59.55031987348745	43
DEPARTURE	63.53327097085517	46
ARRIVAL	62.707174689351845	45
DEPARTURE	67.06714957637543	48
ARRIVAL	66.30439443614249	47
DEPARTURE	71.17871689939379	51
ARRIVAL	68.50237371347721	49
DEPARTURE	71.74237906044361	52
ARRIVAL	70.79146563736055	50
ARRIVAL	73.137890832105	53
DEPARTURE	74.59210752856238	54
DEPARTURE	76.62949729198164	56
ARRIVAL	75.72085361970443	55
DEPARTURE	79.41052087543315	58
ARRIVAL	78.53515201815274	57
DEPARTURE	82.49501996966579	60
ARRIVAL	81.66504564958066	59
DEPARTURE	85.99352979133086	62
ARRIVAL	85.2254841102891	61
DEPARTURE	90.05684591973191	65
ARRIVAL	87.37328521355107	63
DEPARTURE	90.55468230086434	66
ARRIVAL	89.59392251223048	64
ARRIVAL	91.86039249691504	67
DEPARTURE	93.37684862081417	68
DEPARTURE	95.24292157327001	70
ARRIVAL	94.31595256941264	69
DEPARTURE	97.85681306711997	72
ARRIVAL	96.95644422272888	71
DEPARTURE	100.71330536826697	74
ARRIVAL	99.84922528846877	73
DEPARTURE	103.90076123364427	76
ARRIVAL	103.08618741478969	75
DEPARTURE	107.53972788362464	78
ARRIVAL	106.79269204519218	77
DEPARTURE	109.79465958428058	80
ARRIVAL	108.80375508681396	79
DEPARTURE	111.82544170300781	82
ARRIVAL	110.83785007036013	81
DEPARTURE	113.88643806464444	84
ARRIVAL	112.90336594518598	83
DEPARTURE	115.98865363587578	86
ARRIVAL	115.01174717683021	85
DEPARTURE	118.14710173441901	88
ARRIVAL	117.1786066610107	87
DEPARTURE	120.38226399509624	90
ARRIVAL	119.42524399550008	89
