Clock information
STATE	 TIME	PROBABILITY
0	3.000	0.002
1	6.931	0.004
2	12.679	0.008
3	147.985	0.089
4	64028.167	38.322
5	102879.737	61.576
TOTAL TIME - 167078.498

Queue information
Max size - 5
Arrival Interval - 2,4
Departure Interval - 3,5
Loss Number - 14924
Mode - RANDOM

Events information
EVENT	TIME	ORDER
FIRST_ARRIVAL	3.0	0
DEPARTURE	6.202555135250874	2
ARRIVAL	5.569193375346912	1
ARRIVAL	9.076165254035605	3
DEPARTURE	11.108154394159353	4
ARRIVAL	12.001364072214406	5
DEPARTURE	14.525708462182598	6
ARRIVAL	15.120476564952185	7
DEPARTURE	18.439250279486412	9
ARRIVAL	17.50821463551937	8
ARRIVAL	20.551064484560563	10
DEPARTURE	22.157729334520972	11
ARRIVAL	24.439875696841877	12
DEPARTURE	26.03998808939396	13
ARRIVAL	26.747598700080996	14
DEPARTURE	29.8781773169352	16
ARRIVAL	28.942601722520173	15
ARRIVAL	31.49247848471793	17
DEPARTURE	34.33574162547001	18
ARRIVAL	35.27170424483225	19
DEPARTURE	37.93770533721199	20
ARRIVAL	38.86249530454942	21
DEPARTURE	41.05769528847059	22
ARRIVAL	41.22050543111102	23
DEPARTURE	45.024507714820466	25
ARRIVAL	43.744497788765756	24
ARRIVAL	47.135855587728905	26
DEPARTURE	49.63439205151608	28
ARRIVAL	49.30468186523663	27
ARRIVAL	51.78760437662371	29
DEPARTURE	53.92070238201204	30
ARRIVAL	55.12880081613436	31
DEPARTURE	58.40228519571149	32
ARRIVAL	58.96946053311012	33
DEPARTURE	62.1613832099332	34
ARRIVAL	62.96216594569048	35
DEPARTURE	66.30938006031091	37
ARRIVAL	65.94958748069772	36
ARRIVAL	68.52629332254013	38
DEPARTURE	70.8355671457514	39
ARRIVAL	72.48104077674972	40
DEPARTURE	74.88647603994232	41
ARRIVAL	75.22013306431808	42
DEPARTURE	79.82801128436363	44
ARRIVAL	78.23724808496802	43
ARRIVAL	80.88990321272703	45
DEPARTURE	84.54845963305395	47
ARRIVAL	83.34152747024008	46
ARRIVAL	86.54778387709862	48
DEPARTURE	88.68489606532786	49
ARRIVAL	89.50563645174714	50
DEPARTURE	92.18597112904058	51
ARRIVAL	92.8383769455215	52
DEPARTURE	96.64592552739845	54
ARRIVAL	96.62371602010225	53
ARRIVAL	99.24131622106935	55
DEPARTURE	101.27671122449773	56
ARRIVAL	101.46360349727712	57
DEPARTURE	104.89637499706625	58
ARRIVAL	105.09966734836112	59
DEPARTURE	108.13216260903523	61
ARRIVAL	107.75386195617872	60
ARRIVAL	111.47824795006635	62
DEPARTURE	111.59385848106083	63
ARRIVAL	114.71026529113989	64
